LAST_STEP_ORIGIN_ID,SHP_TYPOLOGY,DIC_SERVICE_ID,DT_PREVISTA_COLETA,CTD_SHIPMENT_ID,,,,,,,
1246927119,GM,J&T Nodos,21/08/2026,1,,SUM de CTD_SHIPMENT_ID,,SHP_TYPOLOGY,,,
1246927119,LARGE,Dominalog,12/08/2026,1,,DIC_SERVICE_ID,DT_PREVISTA_COLETA,GM,LARGE,OVERSIZE,Total geral
1246930293,LARGE,Loggi,19/08/2026,1,,Dominalog,Fri Aug 21 2026 04:00:00 GMT-0300 (Brasilia Standard Time),84,2197,598,2879
1246935563,GM,J&T Nodos,17/08/2026,1,,Dominalog Total,,84,2197,598,2879
1246936177,LARGE,Jad,07/08/2026,1,,Total geral,,84,2197,598,2879
1246938652,GM,J&T Nodos,15/08/2026,1,,,,,,,
1246939206,LARGE,Dominalog,19/08/2026,1,,,,,,,
1246939949,LARGE,Loggi,08/08/2026,1,,,,,,,
1246942037,GM,Jad,01/08/2026,1,,,,,,,
1246943002,OVERSIZE,Dominalog,11/08/2026,1,,,,,,,
1306249086,LARGE,Loggi,07/08/2026,1,,,,,,,
1351654725,GM,Jad,06/08/2026,1,,,,,,,
1351656915,GM,Loggi,17/08/2026,1,,,,,,,
1351664973,LARGE,Dominalog,04/08/2026,1,,,,,,,
1351666855,LARGE,Jad,25/07/2026,1,,,,,,,
1352922222,GM,Loggi,04/08/2026,1,,,,,,,
1352926632,GM,Loggi,22/08/2026,1,,,,,,,
1352927698,LARGE,Jad,10/08/2026,1,,,,,,,
1352935238,LARGE,Dominalog,10/08/2026,1,,,,,,,
1352937938,LARGE,Loggi,07/08/2026,1,,,,,,,
1399139803,OVERSIZE,Dominalog,18/08/2026,1,,,,,,,
1404481380,LARGE,Carvalima,20/08/2026,3,,,,,,,
1406271231,GM,J&T Nodos,13/08/2026,1,,,,,,,
1458834048,LARGE,Jad,18/08/2026,1,,,,,,,
1503572074,LARGE,Loggi,13/08/2026,1,,,,,,,
1531913777,LARGE,Dominalog,31/07/2026,2,,,,,,,
1533907218,LARGE,Jad,19/08/2026,1,,,,,,,
1559756041,OVERSIZE,Jad,12/08/2026,2,,,,,,,
1564527455,LARGE,Loggi,07/08/2026,1,,,,,,,
1582045447,GM,J&T Nodos,21/08/2026,1,,,,,,,
1582449279,GM,Loggi,22/08/2026,1,,,,,,,
1582450657,GM,Carvalima,14/08/2026,1,,,,,,,
1596210446,GM,Dominalog,17/08/2026,1,,,,,,,
1596217922,LARGE,Loggi,18/08/2026,1,,,,,,,
1621465921,LARGE,Loggi,11/08/2026,1,,,,,,,
1622243773,LARGE,Jad,06/08/2026,2,,,,,,,
1624070079,LARGE,Loggi,18/08/2026,1,,,,,,,
1629249487,GM,Carvalima,20/08/2026,1,,,,,,,
1631448763,OVERSIZE,Dominalog,20/08/2026,1,,,,,,,
1635976232,LARGE,Dominalog,08/08/2026,1,,,,,,,
1642205148,GM,Jad,15/08/2026,1,,,,,,,
1644655790,GM,J&T Nodos,15/08/2026,1,,,,,,,
849817033_105305212,LARGE,Dominalog,11/08/2026,1,,,,,,,
849817033_1163846,GM,Loggi,21/08/2026,1,,,,,,,
